Day,Category,Type,VideoViews,Views,Reactions,Comments,Date,WeekdayNumber,Votes
105,Data,Photo_1,,1116,9,16,2022-02-08,3,
106,Publishing,Photo_1,,6358,75,43,2022-02-09,4,
107,Math,Poll,,1996,14,19,2022-02-10,5,55
108,Math,Photo_1,,1611,21,29,2022-02-11,6,
109,Publishing,Text,,4266,30,73,2022-02-12,7,
110,Data,Photo_1,,2800,53,20,2022-02-13,1,
111,Holiday,Photo_1,,1920,47,4,2022-02-14,2,
112,Publishing,Photo_1,,964,10,2,2022-02-15,3,
113,Space,Photo_1,,1565,22,6,2022-02-16,4,
114,SpaceNews,Photo_1,,636,13,2,2022-02-17,5,
115,Publishing,Photo_1,,3853,29,16,2022-02-18,6,
116,Life,Photo_1,,3456,69,20,2022-02-19,7,
117,Coding,Photo_1,,1567,21,9,2022-02-20,1,
118,Life,Photo_1,,1147,24,4,2022-02-21,2,
119,Artificial_Intelligence,Photo_1,,1019,11,9,2022-02-22,3,
120,Data,Photo_1,,1861,29,12,2022-02-23,4,
121,Publishing,Document,,5661,44,56,2022-02-24,5,
122,Math,Photo_1,,1916,26,11,2022-02-25,6,
123,Publishing,Photo_1,,2162,22,15,2022-02-26,7,
124,Artificial_Intelligence,Photo_1,,3110,22,45,2022-02-27,1,
125,Life,Video,539,2160,38,12,2022-02-28,2,
126,Data,Text,,2628,28,29,2022-03-01,3,
127,Artificial_Intelligence,Photo_1,,981,11,10,2022-03-02,4,
128,Data,Text,,1949,27,14,2022-03-03,5,
129,Celebration,Photo_1,,5637,95,29,2022-03-04,6,
130,Data,Text,,1925,20,18,2022-03-05,7,
131,Data,Photo_1,,4073,13,19,2022-03-06,1,
132,Data,Photo_1,,881,18,8,2022-03-07,2,
133,Data,Text,,2351,20,23,2022-03-08,3,
134,Data,Text,,2361,27,23,2022-03-09,4,
135,Data,Text,,1968,15,10,2022-03-10,5,
136,Data,Text,,2888,32,18,2022-03-11,6,
137,Publishing,Text,,2150,22,13,2022-03-12,7,
138,Coding,Photo_1,,1677,12,14,2022-03-13,1,
139,Coding,Text,,1501,20,11,2022-03-14,2,
140,Publishing,Text,,750,4,12,2022-03-15,3,
141,Publishing,Text,,3387,28,29,2022-03-16,4,
142,Publishing,Text,,4595,22,39,2022-03-17,5,
143,Publishing,Photo_1,,3050,28,25,2022-03-18,6,
144,Publishing,Text,,3139,19,38,2022-03-19,7,
145,Publishing,Article,,1748,17,19,2022-03-20,1,
146,Publishing,Text,,1899,13,21,2022-03-21,2,
147,Data,Photo_1,,1320,15,11,2022-03-22,3,
148,Education,Photo_1,,1126,18,13,2022-03-23,4,
149,Coding,Text,,1194,14,9,2022-03-24,5,
150,Data,Text,,1039,12,10,2022-03-25,6,
151,Data,Photo_1,,1462,16,25,2022-03-26,7,
152,Data,Photo_1,,6129,32,53,2022-03-27,1,
153,Education,Text,,2845,37,45,2022-03-28,2,
154,Data,Text,,2032,15,23,2022-03-29,3,
155,Education,Text,,1562,15,21,2022-03-30,4,
156,Publishing,Photo_1,,2024,20,25,2022-03-31,5,
157,Publishing,Video,403,2455,30,34,2022-04-01,6,
158,Education,Photo_1,,2779,28,26,2022-04-02,7,
159,Life,Photo_1,,6295,101,51,2022-04-03,1,
160,Publishing,Text,,1436,23,19,2022-04-04,2,
161,Artificial_Intelligence,Photo_1,,911,12,9,2022-04-05,3,
162,Life,Photo_1,,2140,25,35,2022-04-06,4,
163,Data,Text,,2099,15,18,2022-04-07,5,
164,Data,Text,,1820,14,18,2022-04-08,6,
165,Life,Text,,2911,21,37,2022-04-09,7,
166,Data,Text,,2738,21,12,2022-04-10,1,
167,Publishing,Text,,2913,31,16,2022-04-11,2,
168,Publishing,Photo_1,,1025,16,13,2022-04-12,3,
169,Publishing,Text,,2148,18,21,2022-04-13,4,
170,Publishing,Text,,3451,23,59,2022-04-14,5,
171,Publishing,Text,,1465,22,17,2022-04-15,6,
172,Publishing,Video,251,1760,26,14,2022-04-16,7,
173,Data,Text,,1881,17,16,2022-04-17,1,
174,Data,Text,,552,6,2,2022-04-18,2,
175,Data,Text,,828,10,4,2022-04-19,3,
176,Data,Text,,1158,16,8,2022-04-20,4,
177,Data,Text,,1038,11,18,2022-04-21,5,
178,Publishing,Text,,2091,20,36,2022-04-22,6,
179,Life,Text,,2062,25,17,2022-04-23,7,
180,Publishing,Text,,1395,15,13,2022-04-24,1,
181,Publishing,Photo_1,,1147,16,14,2022-04-25,2,
182,Publishing,Photo_1,,1041,22,13,2022-04-26,3,
183,Publishing,Text,,2361,20,24,2022-04-27,4,
184,Publishing,Video,213,1443,22,17,2022-04-28,5,
185,Data,Text,,991,16,10,2022-04-29,6,
186,Life,Photo_1,,841,23,12,2022-04-30,7,
