Weekof,ProfileViews
2021-09-02,1
2021-09-09,1
2021-09-16,1
2021-09-23,3
2021-09-30,5
2021-10-06,1
2021-10-13,9
2021-10-19,7
2021-10-26,38
2021-11-02,84
2021-11-09,76
2021-11-16,40
2021-11-23,47
2021-11-30,49
2021-12-07,80
2021-12-14,66
2021-12-21,71
2021-12-28,129
2022-01-04,116
2022-01-11,146
2022-01-18,230
2022-01-25,123
2022-02-01,132
2022-02-08,78
