Day,Category,Type,Views,Interactions,Comments
-3,SpaceForce,Share,21,0,0
-2,CyberSecurity,Photo_1,93,0,0
-1,Celebration,Photo_5,7049,124,35
1,Update,Text,511,8,4
2,Update,Text,648,9,12
3,SpaceNews,Text,826,9,11
4,Data,Photo_1,2179,16,7
5,USSFExplained,Text,910,17,10
6,USSFExplained,Photo_1,466,10,9
7,USSFExplained,Photo_1,244,9,1
8,USSFExplained,Photo_1,291,9,2
9,USSFExplained,Text,241,7,4
10,USSFExplained,Text,662,10,8
11,USSFExplained,Text,654,8,5
12,Nostalgia,Photo_1,712,9,2
13,Data,Photo_1,996,10,9
14,Publishing,Text,359,13,10
15,SpaceForce,Text,644,9,13
16,Military,Text,251,9,0
17,SpaceNews,Photo_3,1045,16,17
18,Publishing,Text,652,11,9
19,Office,Text,297,6,5
