Day,Category,Type,Views,Reactions,Comments,Date,WeekdayNumber,Votes
-3,SpaceForce,Share,45,0,0,9/25/2021,7,
-2,CyberSecurity,Photo_1,120,0,0,10/16/2021,7,
-1,Celebration,Photo_5,7275,127,35,10/22/2021,6,
1,Update,Text,543,7,4,10/27/2021,4,
2,Update,Text,686,10,12,10/28/2021,5,
3,SpaceNews,Text,863,9,11,10/29/2021,6,
4,Data,Photo_1,2215,16,7,10/30/2021,7,
5,USSFExplained,Text,962,17,10,10/31/2021,1,
6,USSFExplained,Photo_1,500,10,9,11/1/2021,2,
7,USSFExplained,Photo_1,275,9,0,11/2/2021,3,
8,USSFExplained,Photo_1,325,9,2,11/3/2021,4,
9,USSFExplained,Text,280,7,4,11/4/2021,5,
10,USSFExplained,Text,716,10,8,11/5/2021,6,
11,USSFExplained,Text,713,8,7,11/6/2021,7,
12,Nostalgia,Photo_1,745,9,2,11/7/2021,1,
13,Data,Photo_1,1400,10,11,11/8/2021,2,
14,Publishing,Text,410,13,10,11/9/2021,3,
15,SpaceForce,Text,745,9,14,11/10/2021,4,
16,Holiday,Text,324,11,0,11/11/2021,5,
17,SpaceNews,Photo_3,1436,20,19,11/12/2021,6,
18,Publishing,Text,810,14,9,11/13/2021,7,
19,Office,Text,426,6,7,11/14/2021,1,
20,Office,Photo_3,652,5,4,11/15/2021,2,
21,Office,Text,422,9,4,11/16/2021,3,
22,Office,Text,208,4,0,11/17/2021,4,
23,Data,Photo_3,537,12,8,11/18/2021,5,
24,Update,Photo_1,434,7,5,11/19/2021,6,
25,Space,Photo_1,542,12,8,11/20/2021,7,
26,Publishing,Text,1112,17,23,11/21/2021,1,
27,Data,Photo_1,755,15,14,11/22/2021,2,
28,Data,Photo_1,347,4,8,11/23/2021,3,
29,Data,Text,631,7,6,11/24/2021,4,
30,Holiday,Text,565,11,10,11/25/2021,5,
31,Data,Photo_1,791,12,13,11/26/2021,6,
32,Update,Document,3297,28,27,11/27/2021,7,
33,Publishing,Photo_1,503,6,10,11/28/2021,1,
34,Artificial_Intelligence,Photo_1,783,8,7,11/29/2021,2,
35,Data,Photo_1,671,9,19,11/30/2021,3,
36,Artificial_Intelligence,Link,680,9,24,12/1/2021,4,
37,Publishing,Text,1051,12,27,12/2/2021,5,
38,Publishing,Text,1582,11,20,12/3/2021,6,
39,Data,Photo_1,687,10,20,12/4/2021,7,
40,Publishing,Poll,9759,15,29,12/5/2021,1,114
41,Publishing,Photo_2,825,6,10,12/6/2021,2,
42,Update,Photo_1,733,16,26,12/7/2021,3,
43,Data,Photo_1,347,6,2,12/8/2021,4,
44,Update,Photo_1,316,9,2,12/9/2021,5,
45,Update,Photo_1,917,24,8,12/10/2021,6,
46,Publishing,Link,270,5,0,12/11/2021,7,
47,12DaysofTribute,Photo_1,2131,52,14,12/12/2021,1,
48,12DaysofTribute,Photo_1,1069,27,2,12/13/2021,2,
49,12DaysofTribute,Photo_1,628,19,4,12/14/2021,3,
50,12DaysofTribute,Photo_1,1297,32,12,12/15/2021,4,
51,12DaysofTribute,Photo_1,2696,51,14,12/16/2021,5,
52,12DaysofTribute,Photo_1,692,22,8,12/17/2021,6,
53,12DaysofTribute,Photo_3,625,19,4,12/18/2021,7,
54,12DaysofTribute,Photo_1,783,18,8,12/19/2021,1,
55,12DaysofTribute,Photo_1,1247,27,12,12/20/2021,2,
56,12DaysofTribute,Text,486,14,4,12/21/2021,3,
57,12DaysofTribute,Photo_1,906,27,5,12/22/2021,4,
58,12DaysofTribute,Photo_1,2215,39,13,12/23/2021,5,
