Day,Category,Type,Views,Reactions,Comments,Date,WeekdayNumber,Votes
59,Publishing,Text,1623,9,19,12/24/2021,6,
60,Holiday,Photo_1,536,8,11,12/25/2021,7,
61,Publishing,Photo_1,798,15,5,12/26/2021,1,
62,Space,Link,648,10,2,12/27/2021,2,
63,Publishing,Poll,5626,12,37,12/28/2021,3,91
64,Data,Photo_1,1288,19,19,12/29/2021,4,
65,Publishing,Link,830,10,10,12/30/2021,5,
66,Publishing,Photo_1,1205,12,4,12/31/2021,6,
67,Publishing,Photo_1,1723,26,18,1/1/2022,7,
68,Update,Photo_1,1278,14,11,1/2/2022,1,
69,Philosophy,Text,652,17,21,1/3/2022,2,
70,Philosophy,Text,1189,32,17,1/4/2022,3,
71,Philosophy,Text,762,13,6,1/5/2022,4,
72,Data,Photo_1,1255,23,22,1/6/2022,5,
73,Publishing,Photo_1,638,13,15,1/7/2022,6,
74,Space,Video,364,41,44,1/8/2022,7,
75,Data,Photo_1,1031,15,4,1/9/2022,1,
76,Publishing,Photo_1,2004,14,38,1/10/2022,2,
77,Data,Text,3184,36,36,1/11/2022,3,
78,Data,Photo_1,8879,83,83,1/12/2022,4,
79,Publishing,Photo_1,2103,39,27,1/13/2022,5,
80,Publishing,Photo_1,839,13,9,1/14/2022,6,
81,Data,Video,691,40,58,1/15/2022,7,
82,Data,Photo_1,1048,12,31,1/16/2022,1,
83,Holiday,Photo_1,574,13,0,1/17/2022,2,
84,Data,Photo_1,3551,61,52,1/18/2022,3,
85,Data,Photo_1,1309,26,6,1/19/2022,4,
86,Data,Photo_1,928,10,13,1/20/2022,5,
87,Data,Photo_1,2440,13,22,1/21/2022,6,
88,Data,Video,132,8,23,1/22/2022,7,
89,Publishing,Photo_1,676,16,23,1/23/2022,1,
90,Data,Photo_1,592,10,11,1/24/2022,2,
91,Space,Photo_1,627,19,9,1/25/2022,3,
92,Publishing,Photo_1,1434,13,13,1/26/2022,4,
93,Life,Photo_1,6101,30,40,1/27/2022,5,
94,Data,Text,623,12,4,1/28/2022,6,
95,Data,Video,284,23,20,1/29/2022,7,
96,Data,Photo_1,3494,31,21,1/30/2022,1,
97,Data,Photo_1,910,9,2,1/31/2022,2,
98,Data,Photo_1,357,8,0,2/1/2022,3,
