Day,Category,Type,Views,Reactions,Comments,Date,WeekdayNumber,Votes
49,12DaysofTribute,Photo_1,640,19,4,12/14/2021,3,
50,12DaysofTribute,Photo_1,1306,32,12,12/15/2021,4,
51,12DaysofTribute,Photo_1,2706,51,14,12/16/2021,5,
52,12DaysofTribute,Photo_1,702,22,8,12/17/2021,6,
53,12DaysofTribute,Photo_3,633,19,4,12/18/2021,7,
54,12DaysofTribute,Photo_1,795,18,8,12/19/2021,1,
55,12DaysofTribute,Photo_1,1257,27,12,12/20/2021,2,
56,12DaysofTribute,Text,499,14,4,12/21/2021,3,
57,12DaysofTribute,Photo_1,926,27,5,12/22/2021,4,
58,12DaysofTribute,Photo_1,2227,39,13,12/23/2021,5,
59,Publishing,Text,1636,9,19,12/24/2021,6,
60,Holiday,Photo_1,549,8,11,12/25/2021,7,
61,Publishing,Photo_1,807,15,5,12/26/2021,1,
62,Space,Link,664,10,2,12/27/2021,2,
63,Publishing,Poll,5648,12,37,12/28/2021,3,91
64,Data,Photo_1,1303,19,18,12/29/2021,4,
65,Publishing,Link,845,10,10,12/30/2021,5,
66,Publishing,Photo_1,1220,13,4,12/31/2021,6,
67,Publishing,Photo_1,1739,26,18,01/01/2022,7,
68,Update,Photo_1,1299,14,6,01/02/2022,1,
69,Philosophy,Text,673,17,21,01/03/2022,2,
70,Philosophy,Text,1214,32,17,01/04/2022,3,
71,Philosophy,Text,785,13,6,01/05/2022,4,
72,Data,Photo_1,1271,23,22,01/06/2022,5,
73,Publishing,Photo_1,659,13,15,01/07/2022,6,
74,Space,Video,369,41,44,01/08/2022,7,
75,Data,Photo_1,1046,15,4,01/09/2022,1,
76,Publishing,Photo_1,2017,14,38,01/10/2022,2,
77,Data,Text,3195,36,36,01/11/2022,3,
78,Data,Photo_1,8920,84,83,01/12/2022,4,
79,Publishing,Photo_1,2124,39,27,01/13/2022,5,
80,Publishing,Photo_1,867,13,9,01/14/2022,6,
81,Data,Video,708,40,75,01/15/2022,7,
82,Data,Photo_1,1094,12,31,01/16/2022,1,
83,Holiday,Photo_1,594,13,0,01/17/2022,2,
84,Data,Photo_1,3590,60,52,01/18/2022,3,
85,Data,Photo_1,1337,26,6,01/19/2022,4,
86,Data,Photo_1,986,11,13,01/20/2022,5,
87,Data,Photo_1,2500,13,22,01/21/2022,6,
88,Data,Video,138,8,23,01/22/2022,7,
89,Publishing,Photo_1,698,16,23,01/23/2022,1,
90,Data,Photo_1,643,10,11,01/24/2022,2,
91,Space,Photo_1,663,19,9,01/25/2022,3,
92,Publishing,Photo_1,1479,13,13,01/26/2022,4,
93,Life,Photo_1,6327,32,43,01/27/2022,5,
94,Data,Text,674,12,4,01/28/2022,6,
95,Data,Video,294,25,20,01/29/2022,7,
96,Data,Photo_1,3659,32,21,01/30/2022,1,
97,Data,Photo_1,1022,9,2,01/31/2022,2,
98,Data,Photo_1,433,8,0,02/01/2022,3,
99,Data,Text,782,15,2,02/02/2022,4,
100,Data,Photo_1,1151,18,25,02/03/2022,5,
101,Data,Photo_1,801,18,16,02/04/2022,6,
101,Space,Photo_3,766,32,4,02/04/2022,6,
102,Publishing,Photo_1,3437,13,16,02/05/2022,7,
103,Artificial_Intelligence,Document,3718,30,42,02/06/2022,1,
104,Coding,Photo_1,291,6,0,02/07/2022,2,
105,Data,Photo_1,1113,9,16,02/08/2022,3,
106,Publishing,Photo_1,6354,74,43,02/09/2022,4,
107,Math,Poll,1990,14,19,02/10/2022,5,55
108,Math,Photo_1,1603,21,28,02/11/2022,6,
109,Publishing,Text,4119,30,73,02/12/2022,7,
110,Data,Photo_1,2797,54,20,02/13/2022,1,
111,Holiday,Photo_1,1917,47,4,02/14/2022,2,
112,Publishing,Photo_1,958,10,2,02/15/2022,3,
113,Space,Photo_1,1536,22,6,02/16/2022,4,
114,SpaceNews,Photo_1,633,13,2,02/17/2022,5,
115,Publishing,Photo_1,3848,30,16,02/18/2022,6,
116,Life,Photo_1,3440,69,20,02/19/2022,7,
117,Coding,Photo_1,1519,20,6,02/20/2022,1,
118,Life,Photo_1,1139,24,4,02/21/2022,2,
119,Artificial_Intelligence,Photo_1,1011,12,9,02/22/2022,3,
120,Data,Photo_1,1845,30,12,02/23/2022,4,
121,Publishing,Document,5579,43,56,02/24/2022,5,
122,Math,Photo_1,1910,27,11,02/25/2022,6,
123,Publishing,Photo_1,2095,22,14,02/26/2022,7,
124,Artificial_Intelligence,Photo_1,3097,23,45,02/27/2022,1,
125,Life,Video,536,38,12,02/28/2022,2,
126,Data,Text,2593,29,29,03/01/2022,3,
127,Artificial_Intelligence,Photo_1,962,11,10,03/02/2022,4,
128,Data,Text,1909,27,14,03/03/2022,5,
129,Celebration,Photo_1,5356,93,29,03/04/2022,6,
130,Data,Text,1888,19,18,03/05/2022,7,
131,Data,Photo_1,3987,13,19,03/06/2022,1,
132,Data,Photo_1,851,16,8,03/07/2022,2,
133,Data,Text,2244,19,23,03/08/2022,3,
134,Data,Text,2230,26,23,03/09/2022,4,
135,Data,Text,1736,15,10,03/10/2022,5,
136,Data,Text,2609,30,15,03/11/2022,6,
137,Publishing,Text,1900,22,13,03/12/2022,7,
138,Coding,Photo_1,997,8,12,03/13/2022,1,
