Day,Category,Type,Views,Reactions,Comments,Date,WeekdayNumber,Votes
-3,SpaceForce,Share,51,0,0,,,
-2,CyberSecurity,Photo_1,130,0,0,,,
-1,Celebration,Photo_5,7333,127,37,,,
1,Update,Text,554,7,4,10/27/2021,4,
2,Update,Text,695,9,10,10/28/2021,5,
3,SpaceNews,Text,872,9,11,10/29/2021,6,
4,Data,Photo_1,2225,16,7,10/30/2021,7,
5,USSFExplained,Text,969,17,10,10/31/2021,1,
6,USSFExplained,Photo_1,511,10,9,11/01/2021,2,
7,USSFExplained,Photo_1,288,9,0,11/02/2021,3,
8,USSFExplained,Photo_1,339,9,2,11/03/2021,4,
9,USSFExplained,Text,293,7,4,11/04/2021,5,
10,USSFExplained,Text,732,10,8,11/05/2021,6,
11,USSFExplained,Text,721,8,6,11/06/2021,7,
12,Nostalgia,Photo_1,754,9,2,11/07/2021,1,
13,Data,Photo_1,1407,10,11,11/08/2021,2,
14,Publishing,Text,421,13,10,11/09/2021,3,
15,SpaceForce,Text,754,9,14,11/10/2021,4,
16,Holiday,Text,322,11,0,11/11/2021,5,
17,SpaceNews,Photo_3,1446,20,19,11/12/2021,6,
18,Publishing,Text,820,14,9,11/13/2021,7,
19,Office,Text,437,6,7,11/14/2021,1,
20,Office,Photo_3,662,5,4,11/15/2021,2,
21,Office,Text,440,9,4,11/16/2021,3,
22,Office,Text,221,4,0,11/17/2021,4,
23,Data,Photo_3,549,12,8,11/18/2021,5,
24,Update,Photo_1,448,7,5,11/19/2021,6,
25,Space,Photo_1,553,12,8,11/20/2021,7,
26,Publishing,Text,1123,17,23,11/21/2021,1,
27,Data,Photo_1,765,15,14,11/22/2021,2,
28,Data,Photo_1,360,4,8,11/23/2021,3,
29,Data,Text,648,7,6,11/24/2021,4,
30,Holiday,Text,582,11,10,11/25/2021,5,
31,Data,Photo_1,803,12,13,11/26/2021,6,
32,Update,Document,3330,28,27,11/27/2021,7,
33,Publishing,Photo_1,516,6,10,11/28/2021,1,
34,Artificial_Intelligence,Photo_1,747,8,7,11/29/2021,2,
35,Data,Photo_1,683,9,19,11/30/2021,3,
36,Artificial_Intelligence,Link,691,9,24,12/01/2021,4,
37,Publishing,Text,1066,12,27,12/02/2021,5,
38,Publishing,Text,1598,11,20,12/03/2021,6,
39,Data,Photo_1,699,10,20,12/04/2021,7,
40,Publishing,Poll,9773,15,29,12/05/2021,1,114
41,Publishing,Photo_2,838,6,10,12/06/2021,2,
42,Update,Photo_1,746,16,26,12/07/2021,3,
43,Data,Photo_1,356,6,2,12/08/2021,4,
44,Update,Photo_1,331,9,2,12/09/2021,5,
45,Update,Photo_1,948,24,8,12/10/2021,6,
46,Publishing,Link,283,5,0,12/11/2021,7,
47,12DaysofTribute,Photo_1,2140,51,14,12/12/2021,1,
48,12DaysofTribute,Photo_1,1080,27,2,12/13/2021,2,
