Day,Category,Type,Views,Interactions,Comments
-3,SpaceForce,Share,33,0,0
-2,CyberSecurity,Photo_1,110,0,0
-1,Celebration,Photo_5,7140,125,35
1,Update,Text,524,8,4
2,Update,Text,663,10,12
3,SpaceNews,Text,835,9,11
4,Data,Photo_1,2190,16,7
5,USSFExplained,Text,917,17,10
6,USSFExplained,Photo_1,473,10,9
7,USSFExplained,Photo_1,252,9,0
8,USSFExplained,Photo_1,303,9,2
9,USSFExplained,Text,252,7,4
10,USSFExplained,Text,684,10,8
11,USSFExplained,Text,678,8,5
12,Nostalgia,Photo_1,727,9,2
13,Data,Photo_1,1385,10,11
14,Publishing,Text,392,13,10
15,SpaceForce,Text,717,9,13
16,Holiday,Text,293,11,0
17,SpaceNews,Photo_3,1416,20,19
18,Publishing,Text,791,14,9
19,Office,Text,395,6,5
20,Office,Photo_3,618,5,4
21,Office,Text,405,9,4
22,Office,Text,188,4,0
23,Data,Photo_3,497,12,8
24,Update,Photo_1,413,7,5
25,Space,Photo_1,502,12,6
26,Publishing,Text,1074,17,23
27,Data,Photo_1,683,15,8
28,Data,Photo_1,306,4,8
29,Data,Text,589,7,6
30,Holiday,Text,488,10,9
